return_id,order_id,sku,quantity,return_date,reason,condition_on_return
RET-000001,ORD-000004,B044FDSE6A,1,2024-09-25,wrong item,opened
RET-000002,ORD-000005,VH-1057,1,2024-10-03,wrong item,opened
RET-000003,ORD-000018,B0XS5B40FN,1,2024-10-22,changed mind,opened
RET-000004,ORD-000025,B00RADH5S3,1,2024-10-16,changed mind,resellable
RET-000005,ORD-000032,B0QGLWA5EL,1,2024-09-30,quality issue,damaged
RET-000006,ORD-000036,slatplacset  ,1,2024-10-02,not as described,resellable
RET-000007,ORD-000039,B00RADH5S3,1,2024-10-05,wrong item,opened
RET-000008,ORD-000040,B0WXUN8SX9,1,2024-10-08,changed mind,resellable
RET-000009,ORD-000047,B0R6SMCWAT,1,2024-09-26,no longer needed,resellable
RET-000010,ORD-000051,B00RADH5S3,1,2024-10-02,no longer needed,resellable
RET-000011,ORD-000053,VH-1059,1,2024-10-05,changed mind,opened
RET-000012,ORD-000074,VH-1001,1,2024-10-03,changed mind,resellable
RET-000013,ORD-000078,B00RADH5S3,1,2024-11-04,not as described,resellable
RET-000014,ORD-000114,VH-1032,1,2024-10-19,changed mind,resellable
RET-000015,ORD-000119,VH-1027,2,2024-09-30,not as described,damaged
RET-000016,ORD-000136,VH-1041,1,2024-10-30,changed mind,resellable
RET-000017,ORD-000140, glasstorjarsetof6  ,1,2024-10-15,changed mind,resellable
RET-000018,ORD-000148,B00RADH5S3,2,2024-10-02,changed mind,resellable
RET-000019,ORD-000150,VH-1081,1,2024-09-12,arrived damaged,damaged
RET-000020,ORD-000178,B0L1F47G91,1,2024-10-13,changed mind,resellable
RET-000021,ORD-000201,B0YH2UG55T,1,2024-10-12,arrived damaged,damaged
RET-000022,ORD-000201,B0TBXU1FDC,1,2024-09-20,quality issue,damaged
RET-000023,ORD-000214,VH-1113,1,2024-10-14,arrived damaged,damaged
RET-000024,ORD-000215,B06TDAT9ZQ,2,2024-10-11,not as described,resellable
RET-000025,ORD-000219,B0L1F47G91,1,2024-10-27,wrong item,opened
RET-000026,ORD-000221,B0WXUN8SX9,1,2024-11-16,wrong item,resellable
RET-000027,ORD-000228,B0WXUN8SX9,1,2024-10-09,changed mind,opened
RET-000028,ORD-000242,B0ZM4P1CPY,1,2024-11-06,wrong item,resellable
RET-000029,ORD-000251,B00H6QEFH6,1,2024-10-11,quality issue,opened
RET-000030,ORD-000252,B0S1ZHPN2M,1,2024-09-22,not as described,resellable
RET-000031,ORD-000264,terrapro ,1,2024-10-03,not as described,opened
RET-000032,ORD-000266,VH-1057,1,2024-10-05,changed mind,resellable
RET-000033,ORD-000268,VH-1083,1,2024-10-22,wrong item,opened
RET-000034,ORD-000272,B0WXUN8SX9,2,2024-09-10,no longer needed,resellable
RET-000035,ORD-000276,B0WXUN8SX9,1,2024-09-28,changed mind,resellable
RET-000036,ORD-000277,B0WXUN8SX9,1,2024-09-24,quality issue,damaged
RET-000037,ORD-000288,B0BW9EFX8S,1,2024-10-08,changed mind,resellable
RET-000038,ORD-000292, teracotta placemat set ,1,2024-10-06,quality issue,opened
RET-000039,ORD-000293,B0QGLWA5EL,1,2024-09-30,quality issue,damaged
RET-000040,ORD-000297,VH-1112,1,2024-10-13,changed mind,opened
RET-000041,ORD-000305,B0KWHTZDZV,3,2024-10-08,changed mind,damaged
RET-000042,ORD-000313,VH-1113,2,2024-10-23,not as described,opened
RET-000043,ORD-000314,VH-1005,1,2024-10-11,wrong item,opened
RET-000044,ORD-000321,B0WXUN8SX9,1,2024-09-15,not as described,opened
RET-000045,ORD-000331,B0SFE1R7XM,1,2024-10-03,changed mind,resellable
RET-000046,ORD-000332, borosilicate-food-chopper  ,2,2024-09-21,not as described,opened
RET-000047,ORD-000356,VH-1019,1,2024-10-19,not as described,damaged
RET-000048,ORD-000360,B00RADH5S3,1,2024-10-06,wrong item,damaged
RET-000049,ORD-000361,B0WXUN8SX9,1,2024-09-24,no longer needed,resellable
RET-000050,ORD-000364,B0WXUN8SX9,1,2024-09-20,no longer needed,resellable
RET-000051,ORD-000366,B0WXUN8SX9,1,2024-09-13,no longer needed,resellable
RET-000052,ORD-000370,VH-1009,1,2024-10-10,changed mind,resellable
RET-000053,ORD-000373,B07LLE55WZ,1,2024-10-07,not as described,resellable
RET-000054,ORD-000376,B0MLAXK2E1,1,2024-11-20,no longer needed,resellable
RET-000055,ORD-000378,B0W8N8XWYK,1,2024-09-20,arrived damaged,damaged
RET-000056,ORD-000382,B0WXUN8SX9,1,2024-10-02,not as described,resellable
RET-000057,ORD-000383,VH-1009,1,2024-10-02,not as described,damaged
RET-000058,ORD-000388, vh acacia storage jar ,1,2024-09-23,quality issue,opened
RET-000059,ORD-000391,B0KT4D60ZK,1,2024-09-20,changed mind,opened
RET-000060,ORD-000397,B06TDAT9ZQ,1,2024-09-25,wrong item,damaged
RET-000061,ORD-000403, stneware grill pan ,1,2024-10-04,no longer needed,resellable
RET-000062,ORD-000408,B0WXUN8SX9,1,2024-09-14,no longer needed,resellable
RET-000063,ORD-000419,B00RADH5S3,1,2024-10-31,no longer needed,resellable
RET-000064,ORD-000430, vh bamboo storage jar  ,1,2024-10-28,quality issue,opened
RET-000065,ORD-000435,vh stainless steel muffin tray ,1,2024-10-17,not as described,opened
RET-000066,ORD-000441,B0XLHGCJNR,1,2024-09-29,not as described,resellable
RET-000067,ORD-000448,B0HGZ5AHB5,1,2024-10-08,no longer needed,resellable
RET-000068,ORD-000450,B0YMGZD1WQ,1,2024-10-09,wrong item,resellable
RET-000069,ORD-000451,B00RADH5S3,1,2024-10-11,arrived damaged,damaged
RET-000070,ORD-000453,borosilicate-food-chopper  ,1,2024-11-01,quality issue,opened
RET-000071,ORD-000459,VH-1117,1,2024-09-28,no longer needed,resellable
RET-000072,ORD-000473,B0WXUN8SX9,1,2024-11-01,not as described,resellable
RET-000073,ORD-000476,B0GKGBFV52,1,2024-10-17,not as described,resellable
RET-000074,ORD-000477,B044FDSE6A,1,2024-10-14,changed mind,opened
RET-000075,ORD-000478,B0YH2UG55T,1,2024-09-16,no longer needed,opened
RET-000076,ORD-000491,B00RADH5S3,1,2024-09-12,arrived damaged,opened
RET-000077,ORD-000494, vh bamboo turner  ,1,2024-09-26,no longer needed,resellable
RET-000078,ORD-000499,B00RADH5S3,1,2024-09-28,changed mind,resellable
RET-000079,ORD-000501,VH-1075,1,2024-10-21,not as described,resellable
RET-000080,ORD-000503,B0TE7M6JWU,1,2024-10-20,no longer needed,resellable
RET-000081,ORD-000505,VH-1047,1,2024-09-22,no longer needed,opened
RET-000082,ORD-000516,B0WXUN8SX9,1,2024-10-22,quality issue,damaged
