weight_band,country,shipping_method,cost
0-0.5,DE,standard,2.2
0-0.5,DE,express,4.07
0-0.5,NL,standard,2.2
0-0.5,NL,express,4.07
0-0.5,BE,standard,2.27
0-0.5,BE,express,4.19
0-0.5,FR,standard,2.38
0-0.5,FR,express,4.4
0-0.5,AT,standard,2.33
0-0.5,AT,express,4.31
0-0.5,IT,standard,2.53
0-0.5,IT,express,4.68
0-0.5,ES,standard,2.51
0-0.5,ES,express,4.64
0-0.5,PL,standard,2.64
0-0.5,PL,express,4.88
0-0.5,SE,standard,2.82
0-0.5,SE,express,5.21
0-0.5,IE,standard,2.86
0-0.5,IE,express,5.29
0.5-1,DE,standard,3.4
0.5-1,DE,express,6.29
0.5-1,NL,standard,3.4
0.5-1,NL,express,6.29
0.5-1,BE,standard,3.5
0.5-1,BE,express,6.48
0.5-1,FR,standard,3.67
0.5-1,FR,express,6.79
0.5-1,AT,standard,3.6
0.5-1,AT,express,6.67
0.5-1,IT,standard,3.91
0.5-1,IT,express,7.23
0.5-1,ES,standard,3.88
0.5-1,ES,express,7.17
0.5-1,PL,standard,4.08
0.5-1,PL,express,7.55
0.5-1,SE,standard,4.35
0.5-1,SE,express,8.05
0.5-1,IE,standard,4.42
0.5-1,IE,express,8.18
1-2,DE,standard,6.1
1-2,DE,express,11.29
1-2,NL,standard,6.1
1-2,NL,express,11.29
1-2,BE,standard,6.28
1-2,BE,express,11.62
1-2,FR,standard,6.59
1-2,FR,express,12.19
1-2,AT,standard,6.47
1-2,AT,express,11.96
1-2,IT,standard,7.01
1-2,IT,express,12.98
1-2,ES,standard,6.95
1-2,ES,express,12.86
1-2,PL,standard,7.32
1-2,PL,express,13.54
1-2,SE,standard,7.81
1-2,SE,express,14.44
1-2,IE,standard,7.93
1-2,IE,express,14.67
2-5,DE,standard,9.2
2-5,DE,express,17.02
2-5,NL,standard,9.2
2-5,NL,express,17.02
2-5,BE,standard,9.48
2-5,BE,express,17.53
2-5,FR,standard,9.94
2-5,FR,express,18.38
2-5,AT,standard,9.75
2-5,AT,express,18.04
2-5,IT,standard,10.58
2-5,IT,express,19.57
2-5,ES,standard,10.49
2-5,ES,express,19.4
2-5,PL,standard,11.04
2-5,PL,express,20.42
2-5,SE,standard,11.78
2-5,SE,express,21.79
2-5,IE,standard,11.96
2-5,IE,express,22.13
5+,DE,standard,13.5
5+,DE,express,24.98
5+,NL,standard,13.5
5+,NL,express,24.98
5+,BE,standard,13.91
5+,BE,express,25.72
5+,FR,standard,14.58
5+,FR,express,26.97
5+,AT,standard,14.31
5+,AT,express,26.47
5+,IT,standard,15.52
5+,IT,express,28.72
5+,ES,standard,15.39
5+,ES,express,28.47
5+,PL,standard,16.2
5+,PL,express,29.97
5+,SE,standard,17.28
5+,SE,express,31.97
5+,IE,standard,17.55
5+,IE,express,32.47
