channel,channel_sku,sku
own_store,VH-1000,VH-1000
amazon,B0AH374DW8,VH-1000
own_store,VH-1001,VH-1001
amazon,B02ZXK0X7U,VH-1001
marketplace,cermic pasta bowl set,VH-1001
own_store,VH-1002,VH-1002
amazon,B06K4ABU9T,VH-1002
marketplace,vh linen platter,VH-1002
marketplace,lineplat,VH-1002
own_store,VH-1003,VH-1003
amazon,B0U6VZRS47,VH-1003
own_store,VH-1004,VH-1004
amazon,B0W3L9K2TT,VH-1004
marketplace,ceramic nesting bols,VH-1004
own_store,VH-1005,VH-1005
marketplace,stonfryipan,VH-1005
own_store,VH-1006,VH-1006
marketplace,acacia_placemat_set,VH-1006
own_store,VH-1007,VH-1007
amazon,B0HBSCASKH,VH-1007
marketplace,slate-loaf-tin,VH-1007
own_store,VH-1008,VH-1008
amazon,B01N7NW7US,VH-1008
marketplace,melamine_muffin_tray,VH-1008
own_store,VH-1009,VH-1009
amazon,B0NTQBZ4V2,VH-1009
marketplace,vh stainless steel muffin tray,VH-1009
own_store,VH-1010,VH-1010
amazon,B00Z4ZVSS8,VH-1010
marketplace,cast-iron-cake-tin,VH-1010
own_store,VH-1011,VH-1011
amazon,B0VUBQ115M,VH-1011
marketplace,bambstocpot,VH-1011
own_store,VH-1012,VH-1012
amazon,B01V4ZLB05,VH-1012
marketplace,vh acacia hand blender,VH-1012
own_store,VH-1013,VH-1013
amazon,B0YH2UG55T,VH-1013
marketplace,acacia-dinner-plate-set,VH-1013
own_store,VH-1014,VH-1014
marketplace,vh enamel tumbler set,VH-1014
own_store,VH-1015,VH-1015
amazon,B00E7ZCXW5,VH-1015
marketplace,vh linen frying pan,VH-1015
own_store,VH-1016,VH-1016
amazon,B00710SNJ5,VH-1016
own_store,VH-1017,VH-1017
amazon,B0PB2ANK9N,VH-1017
marketplace,acaia apron,VH-1017
own_store,VH-1018,VH-1018
marketplace,vh melamine turner,VH-1018
own_store,VH-1019,VH-1019
amazon,B044FDSE6A,VH-1019
marketplace,vh bamboo kitchen utensil set,VH-1019
own_store,VH-1020,VH-1020
amazon,B076GJU5HA,VH-1020
own_store,VH-1021,VH-1021
amazon,B0XQQN7V63,VH-1021
marketplace,stainless-steel-placemat-set,VH-1021
own_store,VH-1022,VH-1022
amazon,B0NUXWWTXM,VH-1022
marketplace,borosilicate-dinner-plate-set,VH-1022
own_store,VH-1023,VH-1023
marketplace,enamel elecric kettle,VH-1023
own_store,VH-1024,VH-1024
amazon,B0GQ0AUTHT,VH-1024
marketplace,melamine-tumbler-set,VH-1024
own_store,VH-1025,VH-1025
own_store,VH-1026,VH-1026
amazon,B0T7K81KQR,VH-1026
marketplace,stainless steel bred bin,VH-1026
own_store,VH-1027,VH-1027
amazon,B0R6SMCWAT,VH-1027
marketplace,vh marble water bottle,VH-1027
own_store,VH-1028,VH-1028
amazon,B0QRA7AREC,VH-1028
marketplace,bamboo-balloon-whisk,VH-1028
own_store,VH-1029,VH-1029
amazon,B0XVBEPU7E,VH-1029
marketplace,marble_placemat_set,VH-1029
own_store,VH-1030,VH-1030
amazon,B0EAVD8CJ8,VH-1030
marketplace,vh cast iron grill pan,VH-1030
marketplace,cast iron grll pan,VH-1030
own_store,VH-1031,VH-1031
amazon,B0XDTY1E1W,VH-1031
marketplace,vh terracotta frying pan,VH-1031
marketplace,terrfryipan,VH-1031
own_store,VH-1032,VH-1032
amazon,B0DUGKZEZ8,VH-1032
marketplace,cast_iron_baking_sheet,VH-1032
marketplace,castironbakishee,VH-1032
own_store,VH-1033,VH-1033
amazon,B0MLAXK2E1,VH-1033
marketplace,terracotta_placemat_set,VH-1033
own_store,VH-1034,VH-1034
amazon,B0L1F47G91,VH-1034
marketplace,glasstorjarsetof6,VH-1034
marketplace,vh glass storage jar set of 6,VH-1034
own_store,VH-1035,VH-1035
marketplace,ceramic salad owl,VH-1035
own_store,VH-1036,VH-1036
marketplace,vh slate hand blender,VH-1036
marketplace,slate-hand-blender,VH-1036
own_store,VH-1037,VH-1037
amazon,B0B1RBATAH,VH-1037
own_store,VH-1038,VH-1038
amazon,B0N4R752V5,VH-1038
own_store,VH-1039,VH-1039
amazon,B0NNFJVLCD,VH-1039
own_store,VH-1040,VH-1040
amazon,B0QT3U9PL7,VH-1040
marketplace,marble-pantry-box,VH-1040
own_store,VH-1041,VH-1041
amazon,B0GKVZ8140,VH-1041
marketplace,oak-mug-set,VH-1041
own_store,VH-1042,VH-1042
marketplace,enamel_water_bottle,VH-1042
own_store,VH-1043,VH-1043
amazon,B069P5PLP6,VH-1043
marketplace,stoneware_pantry_box,VH-1043
own_store,VH-1044,VH-1044
amazon,B0BW9EFX8S,VH-1044
marketplace,enamel-platter,VH-1044
own_store,VH-1045,VH-1045
amazon,B0X3KCJPGM,VH-1045
marketplace,ceramic-table-runner,VH-1045
own_store,VH-1046,VH-1046
amazon,B0P5C1VXW0,VH-1046
marketplace,vh acacia platter,VH-1046
own_store,VH-1047,VH-1047
amazon,B0ZQ6DWCXF,VH-1047
marketplace,coppgrilpan,VH-1047
own_store,VH-1048,VH-1048
amazon,B0S1ZHPN2M,VH-1048
marketplace,oak_wine_glasses,VH-1048
marketplace,oak-wine-glasses,VH-1048
own_store,VH-1049,VH-1049
amazon,B0M5P2CY7D,VH-1049
marketplace,stonpastbowlset,VH-1049
own_store,VH-1050,VH-1050
amazon,B03JL94SRB,VH-1050
marketplace,vh copper mug set,VH-1050
marketplace,copper_mug_set,VH-1050
own_store,VH-1051,VH-1051
amazon,B0HK5F3DG1,VH-1051
marketplace,marble_ladle,VH-1051
marketplace,marbladl,VH-1051
own_store,VH-1052,VH-1052
amazon,B0QFTM3WML,VH-1052
own_store,VH-1053,VH-1053
amazon,B0TBF17EBH,VH-1053
marketplace,cast-iron-casserole-5l,VH-1053
marketplace,cast irn casserole 5l,VH-1053
own_store,VH-1054,VH-1054
amazon,B0N0SG1LUL,VH-1054
marketplace,acacia_tumbler_set,VH-1054
own_store,VH-1055,VH-1055
amazon,B06AAM59LS,VH-1055
marketplace,borosilicate_frying_pan,VH-1055
own_store,VH-1056,VH-1056
marketplace,ceramic-spatula-set,VH-1056
own_store,VH-1057,VH-1057
amazon,B0WXUN8SX9,VH-1057
marketplace,staisteestanmixe,VH-1057
own_store,VH-1058,VH-1058
amazon,B0FBSP8LCU,VH-1058
marketplace,stonteatoweset,VH-1058
own_store,VH-1059,VH-1059
amazon,B0W8N8XWYK,VH-1059
marketplace,slatplacset,VH-1059
own_store,VH-1060,VH-1060
amazon,B0JJCQQ73Q,VH-1060
marketplace,stoneware_loaf_tin,VH-1060
own_store,VH-1061,VH-1061
amazon,B0LZTYNZMM,VH-1061
marketplace,enamel-salad-bowl,VH-1061
marketplace,vh enamel salad bowl,VH-1061
own_store,VH-1062,VH-1062
amazon,B0QGLWA5EL,VH-1062
own_store,VH-1063,VH-1063
amazon,B0XS5B40FN,VH-1063
marketplace,borocaniset,VH-1063
own_store,VH-1064,VH-1064
amazon,B0PSBKCKDF,VH-1064
marketplace,slate-platter,VH-1064
own_store,VH-1065,VH-1065
amazon,B0C7PHW57Y,VH-1065
marketplace,melamine-table-runner,VH-1065
own_store,VH-1066,VH-1066
amazon,B0W5BH9XZQ,VH-1066
marketplace,enamel-grill-pan,VH-1066
own_store,VH-1067,VH-1067
amazon,B0ZM4P1CPY,VH-1067
marketplace,oak gril pan,VH-1067
own_store,VH-1068,VH-1068
amazon,B04Z01TQC9,VH-1068
marketplace,stainless-steel-baking-sheet,VH-1068
own_store,VH-1069,VH-1069
amazon,B04FTSGMDD,VH-1069
marketplace,stneware grill pan,VH-1069
own_store,VH-1070,VH-1070
amazon,B07BFW8H1T,VH-1070
marketplace,borosilicate-grill-pan,VH-1070
own_store,VH-1071,VH-1071
amazon,B06TDAT9ZQ,VH-1071
marketplace,bambeleckett,VH-1071
marketplace,bamboo_electric_kettle,VH-1071
own_store,VH-1072,VH-1072
amazon,B00LHXS3KS,VH-1072
marketplace,vh melamine grill pan,VH-1072
own_store,VH-1073,VH-1073
amazon,B0S1TJJESE,VH-1073
marketplace,vh bamboo storage jar,VH-1073
own_store,VH-1074,VH-1074
amazon,B0ES9828ZD,VH-1074
marketplace,copper-loaf-tin,VH-1074
own_store,VH-1075,VH-1075
amazon,B00H6QEFH6,VH-1075
marketplace,marbplat,VH-1075
own_store,VH-1076,VH-1076
amazon,B0YMGZD1WQ,VH-1076
marketplace,oak placeat set,VH-1076
own_store,VH-1077,VH-1077
amazon,B0MWLBXAJM,VH-1077
marketplace,copper_dinner_plate_set,VH-1077
own_store,VH-1078,VH-1078
amazon,B0Y6BNF1R8,VH-1078
marketplace,stoneware_water_bottle,VH-1078
own_store,VH-1079,VH-1079
amazon,B0RXXN9M2M,VH-1079
marketplace,lineloaftin,VH-1079
marketplace,vh linen loaf tin,VH-1079
own_store,VH-1080,VH-1080
amazon,B0G9FTWQ6C,VH-1080
marketplace,enamel_frying_pan,VH-1080
own_store,VH-1081,VH-1081
amazon,B00RADH5S3,VH-1081
marketplace,ceramic dinnr set 12 piece,VH-1081
own_store,VH-1082,VH-1082
amazon,B0V7R918GG,VH-1082
marketplace,vh oak nesting bowls,VH-1082
